10 2500
0 3 194
5 4 357
6 9 412
4 5 976
8 4 984
9 7 574
0 5 694
9 8 190
3 5 480
6 3 129
8 4 894
1 4 858
6 4 408
4 5 776
5 6 338
0 9 695
5 6 158
0 2 931
7 8 859
2 5 889
5 7 354
7 2 570
2 9 979
9 4 532
2 2 819
9 0 849
9 0 651
2 5 957
3 2 200
8 4 236
2 4 549
9 3 611
8 2 296
2 2 437
9 4 967
8 8 769
0 3 66
9 6 746
9 5 228
7 3 170
8 3 558
6 2 469
1 5 784
7 3 174
7 5 714
8 7 268
2 7 143
3 6 867
6 2 192
8 2 700
9 6 348
8 5 414
4 6 604
9 3 455
2 4 516
9 6 458
7 6 935
9 1 26
8 4 76
7 8 772
1 1 960
2 7 144
4 9 949
0 1 800
7 6 855
2 8 907
9 0 755
9 3 733
5 9 782
6 2 441
3 0 685
5 5 801
0 2 180
5 8 632
0 7 590
3 7 978
9 3 910
0 8 822
5 4 7
2 6 211
8 8 622
2 8 974
9 0 852
5 3 955
0 0 149
1 7 513
7 9 578
3 4 3
4 7 62
1 9 775
3 9 137
9 7 654
6 3 85
8 4 690
9 8 322
6 7 703
2 1 217
1 3 396
7 0 941
2 1 227
0 8 810
0 0 387
3 1 569
5 1 47
8 4 914
9 7 106
9 1 207
3 2 304
5 8 570
4 0 112
6 2 778
2 6 362
6 9 435
3 1 401
9 0 285
6 9 616
3 6 177
2 3 956
9 9 894
5 5 990
3 5 439
4 0 971
9 4 760
9 4 764
0 2 902
5 8 867
6 3 178
7 7 671
6 7 521
1 6 698
6 0 994
2 2 158
4 9 920
0 4 224
4 8 63
3 5 987
5 1 143
4 2 118
5 0 218
5 5 742
7 2 823
1 5 271
0 3 225
5 1 760
8 8 202
1 3 804
3 8 543
8 0 333
6 3 171
1 2 933
3 2 817
6 8 411
1 7 862
9 9 221
0 6 996
4 4 543
2 4 414
1 8 972
4 0 584
1 4 167
6 6 714
7 1 719
5 5 641
4 5 49
4 9 399
9 4 235
8 4 934
1 7 276
2 2 745
7 6 89
4 7 816
6 6 280
8 3 744
8 7 83
1 9 881
5 4 52
3 0 519
2 1 736
3 6 547
7 4 503
4 8 13
1 4 331
4 6 699
1 8 70
7 4 543
1 2 115
8 2 601
5 6 265
2 0 410
4 3 233
1 4 169
1 8 471
0 8 699
4 2 244
0 2 971
5 1 585
9 5 661
9 5 168
0 8 507
4 5 757
2 1 336
7 1 712
8 9 793
6 5 372
3 2 226
2 8 502
5 6 301
5 8 955
0 5 155
7 5 356
5 4 290
7 5 997
8 4 449
6 8 256
5 4 667
9 8 457
4 9 220
9 6 544
3 1 654
6 8 818
8 8 78
4 5 624
0 4 731
9 4 868
6 3 163
7 0 324
4 0 228
5 6 48
9 7 848
1 1 413
9 0 472
2 4 632
2 2 705
5 2 551
6 4 89
0 7 386
6 0 697
8 5 179
0 4 737
8 8 405
4 7 723
7 2 339
0 3 90
3 9 653
0 7 857
8 1 519
3 9 668
4 8 554
5 7 126
0 5 754
5 1 513
7 1 338
3 7 846
3 6 770
7 2 488
5 2 796
3 6 422
0 5 653
2 4 458
7 5 488
2 8 277
7 7 587
6 5 163
4 5 538
1 9 194
1 0 451
1 5 648
1 6 333
0 2 751
9 7 555
8 4 200
3 4 287
8 0 598
4 2 440
1 0 491
0 4 177
1 9 305
5 0 864
2 2 513
6 3 569
3 5 323
2 5 521
7 9 198
8 4 84
4 8 173
1 6 869
2 3 469
9 3 823
0 8 445
7 3 826
1 2 808
9 2 222
6 4 450
6 5 429
6 1 171
9 0 895
2 0 10
6 1 475
9 4 226
0 2 962
3 0 838
6 5 698
4 9 799
4 2 148
2 0 339
7 1 638
7 2 47
6 6 993
5 6 605
6 4 110
5 1 987
0 6 423
5 4 282
3 7 840
5 5 718
9 7 698
9 8 486
7 3 418
8 5 920
9 0 140
9 8 222
8 3 884
2 8 687
2 1 758
5 0 478
4 4 265
4 7 40
6 6 764
0 7 108
5 6 858
3 3 395
3 3 256
6 0 428
7 0 39
8 9 483
1 2 372
4 1 603
4 9 385
8 3 506
8 4 774
5 2 377
6 4 179
4 5 566
8 9 21
3 4 174
5 6 922
2 1 723
3 7 64
3 7 332
1 7 494
1 2 816
8 4 763
9 0 561
9 1 288
4 2 973
3 2 341
5 6 790
6 5 57
9 6 431
9 1 435
6 5 637
4 2 485
9 9 978
8 1 597
6 8 759
7 8 291
6 0 65
8 7 753
2 1 664
7 5 480
2 9 892
4 5 706
6 6 183
6 7 243
7 2 366
7 0 422
6 2 561
5 1 997
3 3 70
0 9 11
9 8 871
7 4 928
3 9 527
8 5 240
1 0 12
7 2 63
0 4 916
6 7 795
3 5 112
8 7 730
0 6 765
0 7 161
5 7 641
0 9 792
9 4 22
5 0 641
0 3 748
6 9 151
7 3 186
3 8 32
6 2 968
9 2 384
4 4 602
0 2 610
4 2 514
3 9 628
4 6 66
5 5 147
9 0 928
2 6 355
4 7 955
1 4 372
4 8 679
7 5 794
8 0 202
9 2 386
9 3 238
5 2 800
7 6 138
6 1 450
4 9 316
5 1 485
3 9 505
9 5 247
1 3 38
1 4 706
1 5 529
5 8 62
7 4 806
0 5 335
0 5 14
7 3 281
8 5 145
7 8 96
3 7 991
1 5 209
5 9 85
4 8 95
8 8 776
5 6 709
8 3 324
3 0 30
9 4 674
3 3 913
0 3 418
9 3 298
7 5 766
9 8 973
9 8 947
7 7 172
4 8 242
1 8 481
4 3 667
6 2 182
3 0 965
7 8 330
0 9 97
5 4 455
0 4 120
2 1 698
8 0 492
9 7 60
1 5 377
9 7 265
4 7 247
3 0 868
9 6 721
5 0 642
1 2 655
8 9 483
8 8 922
1 9 196
6 8 953
0 0 150
9 0 792
0 2 358
9 0 445
8 7 738
8 2 504
0 8 484
2 2 733
5 7 245
3 3 965
6 9 102
8 9 4
0 7 408
9 4 789
5 8 777
7 4 978
4 5 117
0 7 594
7 6 299
1 6 463
3 8 560
8 7 216
7 8 379
2 5 362
8 6 322
7 7 536
6 9 282
2 0 473
8 9 417
0 3 641
2 3 856
1 3 867
1 6 298
1 4 953
0 7 383
2 7 524
1 8 902
0 7 418
6 3 480
5 4 736
6 3 749
9 4 797
6 4 579
3 6 302
8 6 473
0 5 259
9 9 98
2 3 132
3 5 301
2 5 16
7 0 21
3 7 309
9 5 725
6 7 78
9 9 331
4 8 15
8 4 370
2 5 741
1 2 323
6 1 45
2 3 365
2 8 385
6 8 851
0 4 599
4 1 955
6 5 337
5 0 418
6 3 9
4 3 644
0 6 763
8 8 589
1 5 2
9 3 98
0 6 805
8 2 326
0 4 232
3 0 354
2 2 928
7 2 132
9 1 989
4 0 372
1 7 192
3 3 282
4 7 642
9 2 244
2 2 8
3 6 957
9 3 668
6 4 181
7 5 755
6 7 469
2 6 282
4 1 19
1 6 782
5 4 694
1 1 153
9 8 75
2 8 287
0 2 122
9 4 214
6 5 408
2 7 192
3 9 666
7 2 453
0 2 76
2 0 449
4 7 675
6 2 303
2 9 304
0 9 301
3 9 190
7 7 4
6 6 606
3 3 644
1 8 900
6 2 33
5 9 976
4 3 117
8 3 162
2 8 504
2 4 593
8 5 78
3 6 894
9 4 335
9 7 883
9 9 725
4 3 370
8 1 519
5 7 646
8 7 919
2 8 153
3 8 976
6 2 305
5 4 959
6 7 157
6 8 601
3 6 325
6 7 169
4 7 790
0 6 696
8 2 619
7 4 568
8 1 146
1 8 777
8 3 996
5 0 776
0 7 875
2 9 192
3 4 739
1 7 710
2 5 672
7 7 145
8 7 585
1 9 7
7 6 789
8 3 405
9 2 735
6 6 257
2 9 123
9 6 738
5 4 461
9 1 381
8 7 25
9 7 27
2 7 47
5 1 347
4 8 235
7 7 69
7 0 227
9 5 626
2 0 735
4 0 490
1 3 505
8 7 497
6 6 607
1 9 185
2 2 988
9 9 383
4 2 952
4 8 420
1 5 721
6 7 209
9 0 694
8 8 361
6 4 671
5 4 281
6 6 925
7 7 147
7 2 349
3 4 279
4 3 47
6 8 855
5 4 982
7 0 209
9 2 212
4 5 916
7 6 563
1 6 507
5 6 610
4 1 608
8 7 671
9 7 276
3 6 774
1 3 397
0 9 78
7 0 174
2 5 837
5 8 794
4 3 454
3 7 195
4 7 508
2 9 564
2 7 965
3 2 139
1 2 43
9 7 567
9 2 788
5 4 709
8 4 977
1 4 780
8 0 395
6 0 975
4 7 150
6 3 278
6 5 909
7 7 193
8 1 691
5 3 134
8 5 410
9 6 837
7 5 459
8 1 280
7 7 931
3 0 869
7 4 301
3 6 289
2 2 395
3 9 193
7 2 545
2 9 510
7 2 589
8 6 51
5 8 281
5 0 569
3 1 477
7 7 811
0 5 62
9 7 47
7 0 473
6 8 959
6 2 81
2 3 628
2 4 911
1 7 300
3 5 614
0 4 509
2 7 596
0 3 318
2 2 331
5 1 674
0 9 978
3 8 417
1 4 926
0 2 412
6 8 714
2 3 652
3 8 665
0 1 71
9 0 426
6 7 882
4 9 301
3 5 873
7 1 819
8 1 550
8 9 863
7 7 75
2 7 604
1 8 9
4 5 961
9 3 545
0 9 321
5 0 733
6 3 328
8 7 469
3 3 505
1 0 62
6 3 125
3 9 209
6 7 807
5 5 371
1 1 531
0 6 460
7 9 195
8 5 478
1 8 19
1 6 261
9 6 723
9 8 936
3 1 499
4 1 730
6 9 377
6 2 899
0 0 667
6 2 510
7 6 838
1 8 609
9 4 516
4 6 785
5 2 160
3 2 684
9 6 559
4 3 622
1 3 27
5 3 431
4 6 619
2 8 484
8 0 581
9 0 240
8 6 542
9 5 856
3 1 847
6 0 623
4 3 282
8 2 537
2 5 144
8 3 482
6 2 513
0 7 786
4 7 340
0 5 503
9 2 54
6 4 787
4 3 627
1 6 609
3 3 818
9 2 994
6 9 309
5 7 842
4 2 948
4 4 652
7 2 753
4 6 968
8 7 568
5 2 467
1 7 422
8 0 234
2 9 82
7 6 233
8 3 793
5 9 382
1 9 136
6 6 909
0 3 821
1 6 814
4 8 441
2 4 294
1 3 648
2 0 607
7 6 394
8 2 233
4 7 827
8 4 832
8 5 695
3 7 37
5 9 700
9 4 118
9 8 74
2 3 788
3 5 423
1 6 343
8 3 867
3 6 651
1 4 248
3 4 878
1 3 527
9 3 551
0 9 988
9 9 806
2 6 808
6 7 699
1 3 58
6 9 966
5 2 867
0 6 897
6 3 69
2 3 167
7 0 213
8 0 767
4 8 964
9 7 718
7 8 273
6 8 407
4 8 315
5 4 365
8 2 727
7 1 783
0 1 727
2 2 593
8 8 373
9 9 696
4 7 27
7 3 793
6 2 720
6 0 238
0 6 556
4 3 263
9 9 583
9 4 291
9 7 299
8 6 763
1 4 769
4 9 648
5 4 992
8 1 956
1 2 214
5 2 22
1 6 397
1 4 300
9 3 370
1 9 748
4 8 71
3 4 735
8 3 237
2 3 545
1 8 233
0 2 374
9 8 831
7 8 445
0 8 174
8 2 252
1 2 441
1 3 319
1 4 250
4 3 601
9 9 76
9 5 587
4 4 400
0 7 212
4 6 617
1 3 872
7 0 82
2 6 644
5 7 290
2 3 260
8 6 834
9 3 443
2 4 202
0 0 639
6 9 934
4 8 654
3 5 177
4 8 929
0 2 49
9 8 717
3 7 481
0 1 409
1 9 551
7 8 653
4 4 447
0 9 406
0 8 964
4 2 575
4 3 747
1 1 214
4 5 383
6 9 686
6 2 923
5 3 979
6 9 996
8 9 36
5 7 965
6 8 339
7 2 304
9 0 506
8 8 398
4 1 857
7 7 992
9 2 592
4 9 695
7 2 515
6 0 751
4 6 384
2 8 171
7 6 332
3 4 9
9 8 629
1 4 509
7 3 959
5 9 375
2 4 108
5 3 745
3 3 903
5 0 234
2 0 968
3 3 367
6 1 401
1 7 990
7 6 417
6 8 666
1 7 351
4 6 122
8 6 311
8 1 167
2 4 124
6 9 998
0 1 513
5 3 759
9 5 848
0 7 936
1 7 246
3 3 647
2 2 402
3 4 653
7 7 68
8 9 672
2 5 450
4 3 443
9 2 412
0 2 378
7 0 3
6 9 766
3 1 461
4 2 369
2 5 680
1 0 121
3 8 27
6 5 450
2 1 433
3 0 490
0 8 601
5 6 531
7 9 139
7 1 885
7 6 612
3 9 61
4 4 760
2 3 186
3 9 718
2 1 657
8 1 848
0 1 280
8 6 804
6 9 34
0 4 329
8 9 76
1 2 94
2 4 861
0 8 977
5 7 858
3 1 416
7 6 619
7 1 707
7 7 17
1 8 118
2 5 672
6 5 160
6 2 358
1 1 310
0 5 514
5 0 724
0 6 352
7 2 724
6 8 105
4 1 709
9 6 94
8 7 383
3 8 254
9 4 606
6 9 40
2 2 29
6 9 423
2 7 488
5 0 444
5 1 453
3 0 66
2 0 254
5 4 621
7 7 188
8 8 927
6 4 680
9 7 229
1 6 468
1 5 588
6 0 27
9 6 516
6 0 169
4 3 465
2 0 968
0 2 963
4 9 83
6 3 303
4 1 229
1 4 606
4 9 772
7 1 83
2 3 847
0 8 793
4 9 849
6 4 500
8 0 355
4 0 701
2 2 973
2 6 592
5 7 476
0 5 993
9 7 223
7 2 763
5 4 77
3 7 896
9 6 723
1 8 959
5 2 188
7 7 488
9 9 216
6 5 411
6 1 135
5 1 788
6 8 577
6 8 174
1 2 579
1 3 41
9 8 994
7 3 400
5 0 81
9 2 922
1 9 294
7 3 593
0 4 905
5 6 255
0 8 380
9 6 843
6 3 789
6 2 287
6 3 167
4 5 728
4 5 538
8 0 153
2 2 188
7 4 637
1 7 95
9 0 114
7 7 693
7 9 531
7 4 422
5 3 601
6 2 368
1 2 974
8 5 903
3 1 756
0 6 141
5 8 145
3 9 486
7 9 178
7 1 657
2 2 669
4 9 819
4 2 264
8 7 490
8 0 590
2 9 529
0 2 211
7 9 106
0 0 488
7 2 329
8 7 587
6 3 530
4 2 338
6 4 571
4 9 169
4 9 625
0 6 464
3 2 720
5 3 55
6 2 267
6 1 256
5 2 556
2 5 404
5 9 285
4 1 906
0 7 414
9 2 304
1 1 939
5 9 54
7 8 392
9 3 505
1 5 345
8 1 751
1 2 124
2 7 808
1 6 154
1 4 794
9 0 68
0 9 513
3 6 154
4 4 488
4 7 226
6 5 489
9 4 635
6 2 958
9 1 808
3 3 243
9 4 718
4 9 662
6 2 317
9 6 840
3 7 501
7 3 940
4 4 543
1 7 301
7 4 398
4 0 625
8 1 555
0 0 337
7 1 87
9 4 331
8 1 718
6 9 611
4 6 751
1 4 869
0 7 51
5 7 443
3 6 802
5 0 201
9 9 478
9 7 931
3 6 620
6 4 649
3 9 709
6 6 211
2 2 58
5 7 2
3 9 238
8 9 14
1 0 781
7 0 154
3 6 700
3 0 822
4 2 322
2 2 824
3 3 275
2 9 773
1 9 102
2 9 266
9 9 523
2 3 786
1 1 796
9 4 415
7 9 384
5 5 736
2 7 960
1 3 360
0 8 90
3 9 553
9 4 818
8 6 983
5 0 655
5 2 863
3 9 426
2 2 781
5 8 555
7 8 244
7 9 679
0 8 621
8 8 662
9 4 837
4 1 83
6 0 434
0 4 730
0 1 943
1 1 502
7 4 862
4 1 301
4 9 994
7 2 558
5 6 710
2 8 819
5 6 426
2 0 463
9 3 102
4 4 824
5 4 867
9 2 2
1 2 189
1 9 187
5 3 325
3 9 940
1 7 363
0 8 499
2 6 478
8 6 11
0 2 330
6 8 474
5 9 652
7 2 755
8 2 471
4 8 188
5 5 442
9 4 249
8 7 75
8 0 52
4 3 839
1 4 729
1 1 212
4 3 44
9 4 489
6 4 987
2 1 401
1 9 431
5 1 351
6 7 145
6 3 131
6 5 470
3 2 565
3 5 695
2 2 235
8 7 438
0 8 148
5 2 494
5 5 333
3 3 686
5 6 344
0 3 531
4 4 616
6 1 29
2 6 984
6 1 162
5 3 928
3 3 829
3 2 47
7 7 629
5 3 692
7 3 334
7 4 765
3 9 189
7 6 501
7 9 866
3 5 809
5 7 831
2 9 967
1 0 797
4 1 733
4 1 562
1 8 689
6 9 172
5 1 542
9 3 120
7 0 307
3 7 557
6 5 673
7 8 754
0 7 876
4 3 263
2 4 886
9 4 539
2 7 83
1 8 492
1 6 787
5 4 872
4 9 150
3 5 880
8 6 46
0 2 122
3 3 43
2 8 265
7 8 499
0 6 276
3 4 852
7 7 888
6 2 200
3 8 216
5 6 152
2 2 990
9 0 20
3 9 582
0 1 70
0 0 268
1 9 555
4 4 727
3 0 333
2 7 573
2 3 325
4 8 328
3 0 428
3 5 974
3 2 837
0 4 932
6 1 93
9 8 756
1 2 493
9 3 855
7 5 447
5 4 729
6 5 929
5 0 433
5 3 496
4 9 261
8 1 929
7 9 634
4 2 544
1 8 958
2 5 949
4 1 807
5 6 860
0 1 928
8 8 130
2 4 95
2 6 396
7 4 445
0 3 862
3 0 166
2 0 571
0 6 697
9 2 976
4 9 973
1 1 405
3 7 514
4 7 456
7 5 678
4 6 195
6 1 422
8 5 251
6 6 455
3 3 333
8 4 930
8 8 464
1 7 158
9 3 562
2 8 282
7 8 730
4 4 229
5 8 418
4 5 856
0 3 119
6 1 492
5 7 216
3 1 468
7 5 164
3 8 934
4 5 150
5 9 963
7 7 833
1 5 377
8 6 726
4 0 837
0 2 632
6 2 132
6 5 322
9 3 580
1 3 502
4 0 333
7 4 163
8 6 760
5 1 243
6 8 499
8 8 964
5 9 85
4 7 809
4 1 682
3 9 736
0 2 599
1 0 814
5 8 903
2 1 941
7 5 729
4 4 132
6 6 425
2 8 365
7 2 646
4 1 11
9 0 177
6 5 143
7 3 596
5 7 148
2 5 233
6 3 996
7 1 697
3 1 17
2 6 881
9 3 136
8 4 524
1 4 74
8 6 357
8 9 936
3 6 307
1 9 244
8 5 490
4 4 685
2 0 369
2 2 522
7 6 841
5 1 747
7 4 856
9 4 124
3 0 218
4 0 916
9 0 155
0 0 811
4 0 835
9 9 531
7 9 58
4 2 702
7 5 428
4 2 341
7 8 612
9 1 658
5 2 945
1 7 760
1 4 888
2 0 111
4 3 473
2 1 928
7 8 709
1 6 676
8 9 372
3 8 748
1 2 42
8 1 282
9 3 337
6 6 220
8 7 300
6 0 667
5 9 253
9 4 259
5 3 322
1 9 305
1 6 193
2 6 548
3 7 293
7 4 458
3 4 403
7 6 615
2 3 633
4 0 750
8 8 164
5 3 998
4 9 415
2 9 361
2 4 926
2 8 232
9 3 94
9 9 626
5 7 607
0 3 421
0 1 521
8 4 651
0 3 14
1 6 543
0 1 806
8 0 412
5 2 960
4 8 263
6 3 230
0 4 141
4 7 743
3 0 505
2 2 587
1 2 151
4 5 162
3 1 825
6 2 6
5 0 659
2 8 718
2 6 660
7 1 986
5 2 861
9 8 91
5 8 414
3 8 970
4 3 747
7 2 970
8 6 903
5 6 957
4 5 469
3 3 216
0 0 244
7 0 810
7 1 827
8 7 744
1 0 271
6 5 839
0 4 248
3 2 108
9 9 645
1 4 798
0 6 517
0 2 976
1 6 446
0 5 426
0 6 456
3 2 24
8 2 194
5 0 291
7 5 242
4 0 238
5 8 232
6 6 177
0 4 948
9 1 551
1 7 130
4 0 252
4 3 96
6 2 379
1 5 315
0 5 931
1 3 748
4 6 423
4 1 474
8 2 789
4 6 752
5 4 456
5 3 325
1 4 47
7 7 897
3 4 90
6 6 70
3 5 929
1 7 719
3 9 791
0 9 404
4 9 976
5 1 347
2 0 92
3 6 618
6 3 628
8 1 461
0 0 130
4 6 307
6 4 905
3 8 478
3 1 520
5 8 310
9 7 62
3 9 693
4 2 27
3 6 469
1 0 511
1 1 81
0 9 93
2 8 769
7 1 428
1 7 862
3 6 238
0 9 705
2 0 351
5 1 78
2 5 617
2 1 273
7 0 153
8 0 721
6 6 632
4 8 810
4 0 792
3 8 640
5 4 67
2 6 788
8 4 508
9 1 767
2 1 888
2 3 344
8 5 914
2 8 757
9 0 376
6 1 764
2 4 378
3 4 226
8 5 352
3 4 854
0 8 541
9 5 275
2 1 852
9 4 351
6 2 876
9 7 684
9 1 699
3 3 812
5 3 96
4 6 773
8 8 738
9 7 506
0 1 129
4 9 577
3 3 897
7 5 307
8 6 788
8 0 667
3 4 338
2 6 187
0 2 657
1 8 261
0 9 714
2 0 139
1 4 725
5 1 234
7 4 319
8 6 85
3 7 119
2 5 969
2 0 382
7 3 866
6 0 473
2 2 676
8 9 41
9 7 468
7 3 952
8 5 607
4 4 452
2 3 775
3 2 255
9 5 137
0 0 409
0 7 771
9 6 117
5 1 633
4 5 821
5 0 340
0 0 686
5 6 344
5 3 859
4 1 30
8 8 118
8 6 191
5 0 544
3 6 13
6 0 955
3 1 42
4 6 296
6 6 532
5 3 366
5 0 367
8 2 499
7 9 637
7 2 221
0 3 390
9 0 149
7 7 11
1 3 604
2 0 670
5 4 87
8 7 972
2 2 723
9 4 332
9 6 100
0 8 671
1 6 306
2 6 810
2 9 326
2 4 573
5 7 432
4 3 344
9 6 957
2 4 693
6 7 394
6 6 833
0 6 76
1 8 724
1 7 377
8 8 379
7 7 760
4 7 978
2 6 645
2 9 610
0 5 339
5 5 119
4 6 595
1 7 385
2 0 838
6 6 713
6 4 997
2 6 964
8 7 495
4 5 889
9 1 557
8 7 852
6 5 383
0 8 225
8 9 721
5 1 151
1 4 352
3 6 575
6 3 544
6 2 594
4 4 111
9 1 756
3 0 832
3 0 892
1 6 880
7 1 456
0 6 293
9 5 481
2 2 937
1 6 850
5 4 338
9 2 855
5 2 386
8 7 970
5 7 533
5 4 475
7 0 788
2 7 202
1 1 228
7 9 789
1 4 640
2 1 757
4 5 407
3 3 360
7 1 920
7 1 612
3 5 417
0 6 686
4 2 577
7 0 100
2 9 360
8 0 273
1 0 17
4 7 731
2 4 516
8 5 664
0 1 208
0 8 947
3 5 491
6 1 856
8 8 675
0 9 238
9 7 463
2 1 593
8 5 50
2 9 359
9 3 235
2 4 208
7 9 317
9 2 606
2 3 322
9 8 325
5 5 694
0 0 983
6 2 56
3 9 246
7 7 458
5 3 104
5 1 312
4 2 808
8 6 580
0 6 683
1 5 492
6 1 483
5 5 242
3 5 266
2 8 59
3 3 931
1 4 731
3 3 103
1 5 537
4 3 301
0 0 30
4 5 230
0 3 412
7 0 80
4 2 347
8 9 732
6 1 441
5 5 267
4 2 337
8 9 278
0 6 182
3 2 200
1 2 448
2 4 799
1 1 842
9 7 403
1 7 134
9 3 594
4 9 570
6 4 3
1 1 693
5 3 344
2 8 497
6 2 150
7 2 816
4 4 397
5 2 981
0 9 466
6 9 651
7 0 660
5 2 226
6 2 890
7 3 90
3 9 118
9 7 938
1 5 290
4 4 443
4 1 534
9 1 833
5 1 184
9 4 489
3 8 643
0 4 537
8 4 59
7 1 387
3 4 92
9 1 458
8 4 783
4 7 75
5 3 977
3 5 519
9 8 997
3 0 731
8 5 997
6 1 600
6 5 511
0 1 924
9 5 5
8 5 159
1 6 955
8 8 702
5 5 610
7 8 596
2 8 770
2 8 287
8 3 131
9 2 381
2 2 718
4 3 144
8 6 685
2 0 226
8 6 619
6 1 610
8 1 713
0 1 969
5 1 667
2 8 403
3 6 431
9 0 690
9 4 703
7 4 562
3 7 520
4 2 436
8 6 608
6 6 927
6 4 870
4 2 342
9 6 9
2 7 412
3 8 376
3 4 252
1 1 669
5 4 408
3 1 329
6 5 498
2 4 497
8 4 795
0 4 381
7 2 961
6 8 942
6 2 998
5 7 788
6 6 60
7 0 701
4 2 467
7 1 416
8 2 257
5 6 591
1 7 855
7 0 74
7 7 341
5 1 72
9 7 921
6 6 259
2 0 831
9 4 791
5 4 829
0 4 829
3 1 877
3 0 849
